datetime,total_tweets,total_climate_tweets,high_engagement_climate_tweets,week,year,week_id
2021-10-17 00:00:00+00:00,20036,27,7.0,41,2021,2021_41
2021-10-24 00:00:00+00:00,20098,9,2.0,42,2021,2021_42
2021-10-31 00:00:00+00:00,20238,33,10.0,43,2021,2021_43
2021-11-07 00:00:00+00:00,20617,95,25.0,44,2021,2021_44
2021-11-14 00:00:00+00:00,20594,21,7.0,45,2021,2021_45
2021-11-21 00:00:00+00:00,20640,5,1.0,46,2021,2021_46
2021-11-28 00:00:00+00:00,19224,6,1.0,47,2021,2021_47
2021-12-05 00:00:00+00:00,20142,4,0.0,48,2021,2021_48
2021-12-12 00:00:00+00:00,19668,5,1.0,49,2021,2021_49
2021-12-19 00:00:00+00:00,19449,12,0.0,50,2021,2021_50
2021-12-26 00:00:00+00:00,17644,3,0.0,51,2021,2021_51
2022-01-02 00:00:00+00:00,16373,1,0.0,52,2021,2021_52
2022-01-09 00:00:00+00:00,19156,0,0.0,1,2022,2022_1
2022-01-16 00:00:00+00:00,20190,3,0.0,2,2022,2022_2
2022-01-23 00:00:00+00:00,19859,2,0.0,3,2022,2022_3
2022-01-30 00:00:00+00:00,20284,1,0.0,4,2022,2022_4
2022-02-06 00:00:00+00:00,20360,5,0.0,5,2022,2022_5
2022-02-13 00:00:00+00:00,20325,3,1.0,6,2022,2022_6
2022-02-20 00:00:00+00:00,19826,3,0.0,7,2022,2022_7
2022-02-27 00:00:00+00:00,19243,1,0.0,8,2022,2022_8
2022-03-06 00:00:00+00:00,19664,1,0.0,9,2022,2022_9
2022-03-13 00:00:00+00:00,20585,11,0.0,10,2022,2022_10
2022-03-20 00:00:00+00:00,19440,3,0.0,11,2022,2022_11
2022-03-27 00:00:00+00:00,19328,6,0.0,12,2022,2022_12
2022-04-03 00:00:00+00:00,19452,10,2.0,13,2022,2022_13
2022-04-10 00:00:00+00:00,18967,11,1.0,14,2022,2022_14
2022-04-17 00:00:00+00:00,18304,15,0.0,15,2022,2022_15
2022-04-24 00:00:00+00:00,18497,12,2.0,16,2022,2022_16
2022-05-01 00:00:00+00:00,18745,4,0.0,17,2022,2022_17
2022-05-08 00:00:00+00:00,18842,1,0.0,18,2022,2022_18
2022-05-15 00:00:00+00:00,19804,6,0.0,19,2022,2022_19
2022-05-22 00:00:00+00:00,20093,2,0.0,20,2022,2022_20
2022-05-29 00:00:00+00:00,20076,6,0.0,21,2022,2022_21
2022-06-05 00:00:00+00:00,18089,3,0.0,22,2022,2022_22
2022-06-12 00:00:00+00:00,19411,8,0.0,23,2022,2022_23
2022-06-19 00:00:00+00:00,19891,1,0.0,24,2022,2022_24
2022-06-26 00:00:00+00:00,20509,6,1.0,25,2022,2022_25
2022-07-03 00:00:00+00:00,19898,3,0.0,26,2022,2022_26
2022-07-10 00:00:00+00:00,19672,7,0.0,27,2022,2022_27
2022-07-17 00:00:00+00:00,20000,2,0.0,28,2022,2022_28
2022-07-24 00:00:00+00:00,20565,4,0.0,29,2022,2022_29
2022-07-31 00:00:00+00:00,20151,3,1.0,30,2022,2022_30
2022-08-07 00:00:00+00:00,19532,2,0.0,31,2022,2022_31
2022-08-14 00:00:00+00:00,19365,3,2.0,32,2022,2022_32
2022-08-21 00:00:00+00:00,19570,7,0.0,33,2022,2022_33
2022-08-28 00:00:00+00:00,19616,3,0.0,34,2022,2022_34
2022-09-04 00:00:00+00:00,19927,4,2.0,35,2022,2022_35
2022-09-11 00:00:00+00:00,19782,15,6.0,36,2022,2022_36
2022-09-18 00:00:00+00:00,20060,2,1.0,37,2022,2022_37
2022-09-25 00:00:00+00:00,20854,10,1.0,38,2022,2022_38
2022-10-02 00:00:00+00:00,21057,1,1.0,39,2022,2022_39
2022-10-09 00:00:00+00:00,20472,5,0.0,40,2022,2022_40
2022-10-16 00:00:00+00:00,20715,16,4.0,41,2022,2022_41
